Código,Unidad,Descripción,Precio (€)
YYT,ud,"Intervenciónbase,inclusoenvíodedatosaoficina,organizaciónentaller,cortarhoja y organizar para manufactura y montador. Incluye 2 visitas de hasta 14 kms de radio de desplazamiento.",18.13
A0T,m2,m2. Luna flotada incolora. Espesor 2 mm.,31.62
A1T,m2,m2. Luna flotada incolora. Espesor 3 mm.,33.99
A2T,m2,m2. Luna flotada incolora. Espesor 4 mm.,37.41
A3T,m2,m2. Luna flotada incolora. Espesor 5 mm.,39.35
A4T,m2,m2. Luna flotada incolora. Espesor 6 mm.,42.83
A5T,m2,m2. Luna flotada incolora. Espesor 8 mm.,60.77
A6T,m2,m2. Luna flotada incolora. Espesor 10 mm.,72.54
A7T,m2,m2. Luna flotada incolora. Espesor 12 mm.,109.01
A8T,m2,m2. Luna flotada incolora. Espesor 15 mm.,145.53
A9T,m2,m2. Luna flotada incolora. Espesor 19 mm.,275.05
B0T,m2,"m2. Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 4 mm.",45.11
B1T,m2,"m2. Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 5 mm.",52.51
B2T,m2,"m2. Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 6 mm.",59.04
B3T,m2,"m2. Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 8 mm.",90.91
B4T,m2,"m2. Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 10 mm.",98.64
B5T,m2,"m2. Luna Parsol o luna flotada coloreada, color rosa. Espesor 4 mm.",72.98
B6T,m2,"m2. Luna Parsol o luna flotada coloreada, color rosa. Espesor 5 mm.",84.3
B7T,m2,"m2. Luna Parsol o luna flotada coloreada, color rosa. Espesor 6 mm.",97.2
B8T,m2,"m2. Luna Parsol o luna flotada coloreada, color rosa. Espesor 8 mm.",135.25
B9T,m2,"m2. Luna Parsol o luna flotada coloreada, color rosa. Espesor 10 mm.",161.3
C0T,m2,m2. Espejo incoloro. Espesor 2 mm.,48.3
C1T,m2,m2. Espejo incoloro. Espesor 3 mm.,50.77
C2T,m2,m2. Espejo incoloro. Espesor 4 mm.,54.56
C3T,m2,m2. Espejo incoloro. Espesor 5 mm.,61.18
C4T,m2,m2. Espejo incoloro. Espesor 6 mm.,63.36
C5T,m2,m2. Espejo incoloro. Espesor 8 mm.,119.82
C6T,m2,m2. Espejo incoloro envejecido. Espesor 3 mm.,149.9
C7T,m2,m2. Espejo incoloro envejecido. Espesor 4 mm.,153.24
C8T,m2,m2. Espejo incoloro envejecido. Espesor 5 mm.,155.11
C9T,m2,m2. Espejo incoloro envejecido. Espesor 6 mm.,159.6
D0T,m2,"m2. Espejo color gris, bronce o verde. Espesor 3 mm.",86.81
D1T,m2,"m2. Espejo color gris, bronce o verde. Espesor 4 mm.",93.44
D2T,m2,"m2. Espejo color gris, bronce o verde. Espesor 5 mm.",101.77
D3T,m2,"m2. Espejo color gris, bronce o verde. Espesor 6 mm.",107.15
D4T,m2,"m2. Espejo color gris, bronce o verde. Espesor 8 mm.",167.24
D5T,m2,m2. Espejo color rosa. Espesor 3 mm.,122.77
D6T,m2,m2. Espejo color rosa. Espesor 4 mm.,130.05
D7T,m2,m2. Espejo color rosa. Espesor 5 mm.,133.49
D8T,m2,m2. Espejo color rosa. Espesor 6 mm.,147.88
D9T,m2,m2. Espejo color rosa. Espesor 8 mm.,211.88
DAT,m2,"m2. Espejo envejecido color gris, bronce o verde. Espesor 4 mm.",155.16
DBT,m2,"m2. Espejo envejecido color gris, bronce o verde. Espesor 6 mm.",170.86
